t,Avg_Divergence,Total_Divergence,Avg_Curl,Total_Curl
0087,2.6487126535281983e-09,0.0006916344968019367,8.966401853574243e-09,0.00234131581840716
0088,2.8356301675252656e-09,0.0007404425849743649,9.116672882228547e-09,0.0023805547396804003
0089,3.0221022025163347e-09,0.0007891343492232679,9.245478075211403e-09,0.0024141884804772767
0090,3.186559904749402e-09,0.0008320777088880685,9.400571958349726e-09,0.0024546867503362386
0091,3.3218876535064948e-09,0.0008674146259712694,9.526269963299451e-09,0.002487509139086716
0092,3.449650335495355e-09,0.0009007761452548826,9.656496192426147e-09,0.002521513942262508
0093,3.5702239365203054e-09,0.0009322604445281187,9.838733237032104e-09,0.00256909986158706
0094,3.6561246254246417e-09,0.0009546909183155078,9.966322808392254e-09,0.0026024161780501937
0095,3.719391482207038e-09,0.000971211223225384,1.0081918259284937e-08,0.002632600577782742
0096,3.746856636658066e-09,0.0009783829518207909,1.0100067611782542e-08,0.0026373397548562693
0097,3.750599009387038e-09,0.0009793601639301527,1.009993758891333e-08,0.002637305803154638
0098,3.741560248518003e-09,0.0009769999536532693,1.0025656490679016e-08,0.002617909448502595
0099,3.7205702749662918e-09,0.000971519030769473,9.87023344466036e-09,0.0025773252273031577
0100,3.6899624297792063e-09,0.0009635266796263761,9.740007278578377e-09,0.0025433204405896645
0101,3.6450869853149325e-09,0.0009518087586924205,9.575699778469276e-09,0.002500416301853676
0102,3.6189523359211938e-09,0.0009449844529080781,9.406064143309612e-09,0.002456120875165149
0103,3.597526189308874e-09,0.0009393896360785224,9.3388579808628e-09,0.0024385719348208753
0104,3.5888847953285215e-09,0.0009371331866409789,9.383698599319892e-09,0.0024502807619530094
0105,3.581893222778876e-09,0.0009353075402252428,9.418552220740896e-09,0.0024593817744320836
0106,3.5742336110081732e-09,0.0009333074547400652,9.467038104605565e-09,0.0024720424569127097
0107,3.5657563314186403e-09,0.0009310938590163667,9.459960677264073e-09,0.002470194392007872
0108,3.5517088759642932e-09,0.0009274257734006722,9.465763901190594e-09,0.0024717097356427888
0109,3.515863445524147e-09,0.0009180657787587108,9.482389386807484e-09,0.002476050999072557
0110,3.4953441693872666e-09,0.0009127077648545725,9.457377951943033e-09,0.0024695199881893167
0111,3.4617655867649034e-09,0.0009039396917816384,9.430034309995177e-09,0.0024623799890602506
